States_Territories,TS_VirtualFFOptions_Sum,HS_VirtualFFOptions_Sum,MS_VirtualFFOptions_Sum,PK_VirtualFFOptions_Sum,TS_FullVirtual_Sum,HS_FullVirtual_Sum,MS_FullVirtual_Sum,PK_FullVirtual_Sum,TS_SupplementalVirtual_Sum,HS_SupplementalVirtual_Sum,MS_SupplementalVirtual_Sum,PK_SupplementalVirtual_Sum,TS_NotVirtual_Sum,HS_NotVirtual_Sum,MS_NotVirtual_Sum,PK_NotVirtual_Sum
Alabama,,,,,15288.0,6943.0,4240.0,5559.0,,,,,717105.0,265355.0,169842.0,336204.0
Alaska,13099.0,4663.0,3087.0,6265.0,1142.0,409.0,275.0,544.0,95762.0,36181.0,22173.0,44610.0,19869.0,5930.0,4392.0,10755.0
Arizona,,,,,57032.0,29426.0,13515.0,19473.0,,,,,1052166.0,412284.0,253530.0,469326.0
Arkansas,,,,,7885.0,3731.0,2097.0,2895.0,248078.0,170674.0,97878.0,14288.0,230342.0,6544.0,15547.0,209415.0
Bureau of Indian Education,,,,,,,,,,,,,34724.0,11068.0,8534.0,17480.0
Colorado,331.0,376.0,0.0,0.0,19734.0,10392.0,5328.0,5986.0,10779.0,10297.0,1429.0,640.0,851991.0,326150.0,199237.0,391766.0
Connecticut,,,,,,,,,497411.0,199117.0,116410.0,221937.0,,,,
Delaware,,,,,,,,,,,,,138092.0,54048.0,32800.0,62341.0
District of Columbia,,,,,297.0,0.0,129.0,168.0,,,,,89147.0,23735.0,16849.0,52799.0
Florida,,,,,84865.0,34103.0,22283.0,35724.0,,,,,2705097.0,1045501.0,637898.0,1233452.0
Georgia,,,,,20417.0,9666.0,5924.0,6940.0,,,,,1709547.0,659627.0,407506.0,779028.0
Guam,,,,,,,,,27497.0,11512.0,6262.0,12191.0,,,,
Hawaii,527.0,161.0,115.0,286.0,,,,,,,,,175914.0,65693.0,38984.0,84527.0
Idaho,,,,,22805.0,7338.0,5443.0,11466.0,,,,,280486.0,111545.0,67680.0,124364.0
Indiana,,,,,17803.0,10135.0,4123.0,5600.0,,,,,1015848.0,393781.0,238064.0,461137.0
Iowa,,,,,2645.0,1611.0,780.0,582.0,378134.0,156074.0,89726.0,164010.0,118720.0,32378.0,23563.0,69129.0
Kansas,,,,,11824.0,3854.0,3058.0,5464.0,,,,,464519.0,175333.0,107711.0,215465.0
Kentucky,,,,,1025.0,926.0,282.0,0.0,657788.0,251747.0,154481.0,302950.0,,,,
Louisiana,,,,,11044.0,5012.0,3178.0,3929.0,,,,,680343.0,248187.0,158439.0,325103.0
Maine,,,,,888.0,825.0,252.0,0.0,,,,,166507.0,63034.0,39561.0,76587.0
Maryland,70.0,0.0,0.0,70.0,,,,,882457.0,337397.0,207151.0,407318.0,,,,
Massachusetts,,,,,3457.0,2221.0,964.0,741.0,908008.0,359062.0,212396.0,407430.0,,,,
Michigan,20459.0,13127.0,3834.0,6100.0,26013.0,17312.0,5058.0,7041.0,830616.0,349386.0,192204.0,357726.0,525194.0,197934.0,122703.0,241963.0
Minnesota,629.0,556.0,84.0,66.0,12109.0,6634.0,3013.0,3641.0,0.0,0.0,0.0,0.0,859345.0,338372.0,197362.0,390306.0
Mississippi,,,,,,,,,4230.0,4737.0,373.0,0.0,438397.0,156112.0,108940.0,198860.0
Missouri,,,,,0.0,0.0,0.0,0.0,,,,,878097.0,336754.0,205677.0,403903.0
Montana,,,,,,,,,32541.0,35031.0,4246.0,394.0,112464.0,19694.0,30720.0,66098.0
Nebraska,,,,,262.0,211.0,13.0,66.0,,,,,324514.0,121907.0,71195.0,155725.0
Nevada,,,,,5521.0,4308.0,1561.0,519.0,,,,,481096.0,180519.0,114377.0,217679.0
New Hampshire,2976.0,1028.0,757.0,1407.0,3797.0,2233.0,1019.0,1003.0,18.0,26.0,0.0,0.0,477813.0,191506.0,114254.0,211508.0
New Jersey,,,,,,,,,,,,,1342174.0,503472.0,300897.0,582993.0
New York,,,,,,,,,2578055.0,1000861.0,590956.0,1153061.0,1069.0,507.0,105.0,63.0
North Carolina,12395.0,4527.0,2882.0,5951.0,21088.0,4853.0,6682.0,10642.0,271634.0,183242.0,77027.0,48980.0,1208560.0,392003.0,278903.0,618593.0
North Dakota,,,,,,,,,89007.0,40710.0,20847.0,35730.0,25863.0,219.0,5665.0,20009.0
Ohio,,,,,39074.0,18892.0,9245.0,14590.0,,,,,1604831.0,614757.0,380750.0,736426.0
Oklahoma,23714.0,8294.0,5167.0,11967.0,43324.0,18307.0,9557.0,19304.0,,,,,627075.0,219785.0,143024.0,308527.0
Oregon,13931.0,6240.0,3162.0,5724.0,13297.0,5707.0,3509.0,5199.0,201684.0,156774.0,43977.0,32384.0,318161.0,50747.0,83219.0,194533.0
Pennsylvania,,,,,61652.0,29837.0,16023.0,21813.0,878043.0,357493.0,210766.0,381283.0,745106.0,286305.0,177724.0,339607.0
Puerto Rico,,,,,,,,,,,,,276413.0,110806.0,64711.0,113844.0
Rhode Island,221.0,279.0,0.0,0.0,,,,,,,,,137164.0,55103.0,32128.0,61151.0
South Carolina,,,,,16950.0,8273.0,4571.0,5854.0,749869.0,280013.0,180885.0,346727.0,,,,
South Dakota,925.0,548.0,186.0,312.0,4023.0,1317.0,1008.0,1968.0,76289.0,42096.0,14879.0,27943.0,57817.0,6797.0,16493.0,35921.0
Tennessee,249.0,253.0,0.0,0.0,10580.0,4450.0,2893.0,4146.0,128565.0,132773.0,16458.0,6480.0,844672.0,231857.0,209166.0,450990.0
Texas,,,,,29521.0,18240.0,9585.0,5496.0,,,,,,,,
U.S. Virgin Islands,,,,,10993.0,4360.0,2735.0,4802.0,,,,,0.0,0.0,0.0,0.0
Vermont,,,,,,,,,77661.0,27450.0,17203.0,38613.0,1267.0,0.0,332.0,935.0
Virginia,148670.0,60408.0,34470.0,66004.0,,,,,1101609.0,435485.0,258661.0,496787.0,1348.0,0.0,926.0,422.0
Washington,7283.0,2874.0,2008.0,2888.0,14296.0,8121.0,3567.0,4307.0,231984.0,225275.0,38285.0,13639.0,833791.0,190741.0,211967.0,467534.0
West Virginia,,,,,,,,,253930.0,97392.0,58718.0,118026.0,,,,
Wisconsin,2182.0,763.0,522.0,1046.0,14120.0,7438.0,3244.0,4840.0,756816.0,304372.0,170209.0,342753.0,56948.0,13250.0,11883.0,34462.0
Wyoming,,,,,,,,,,,,,92772.0,35614.0,22495.0,41981.0
